Store,Date,Forecasted_Sales
1,2012-11-02,1761440.7364515343
1,2012-11-09,1659189.1522668214
1,2012-11-16,1604487.391326199
1,2012-11-23,2097971.1650746586
1,2012-11-30,1649405.755641407
1,2012-12-07,1863691.999020398
1,2012-12-14,1947246.0812553533
1,2012-12-21,2338012.565920865
1,2012-12-28,1561257.3512123118
1,2013-01-04,1614562.594107545
1,2013-01-11,1524394.0111152078
1,2013-01-18,1459211.999291823
2,2012-11-02,2044029.983673614
2,2012-11-09,2007333.5109978546
2,2012-11-16,1993977.9662899775
2,2012-11-23,2700622.823548941
2,2012-11-30,2046391.6915305026
2,2012-12-07,2382186.4551049746
2,2012-12-14,2530391.1889177244
2,2012-12-21,3320226.129899784
2,2012-12-28,1951793.5836383086
2,2013-01-04,1883878.5008661088
2,2013-01-11,1832555.5001554603
2,2013-01-18,1802884.5643960347
3,2012-11-02,489465.39017978957
3,2012-11-09,441811.9395875451
3,2012-11-16,432344.37949584663
3,2012-11-23,593050.0833803547
3,2012-11-30,509237.45336781413
3,2012-12-07,504804.61949328764
3,2012-12-14,544444.509280119
3,2012-12-21,594017.1255069576
3,2012-12-28,443502.0055023207
3,2013-01-04,432418.6120504139
3,2013-01-11,406963.39739136834
3,2013-01-18,401175.1350057085
4,2012-11-02,2234833.364759635
4,2012-11-09,2188989.8383453065
4,2012-11-16,2239715.775353953
4,2012-11-23,2882252.6332919993
4,2012-11-30,2204374.1547349473
4,2012-12-07,2453440.8970832936
4,2012-12-14,2731372.848813888
4,2012-12-21,3485103.7492277445
4,2012-12-28,2015193.2496503287
4,2013-01-04,2058153.8670381205
4,2013-01-11,1996751.7546734777
4,2013-01-18,2039841.1432741445
5,2012-11-02,365197.54924698395
5,2012-11-09,334756.55050042656
5,2012-11-16,330670.3268973554
5,2012-11-23,519616.04561860004
5,2012-11-30,385266.3835741242
5,2012-12-07,386133.5734766668
5,2012-12-14,399447.21994838334
5,2012-12-21,486585.67699190625
5,2012-12-28,348618.72235335375
5,2013-01-04,326304.75252781255
5,2013-01-11,303492.8622132975
5,2013-01-18,309873.65899916703
6,2012-11-02,1581659.875426649
6,2012-11-09,1593721.1050060028
6,2012-11-16,1582397.156453629
6,2012-11-23,2307996.3216394023
6,2012-11-30,1746432.5125304009
6,2012-12-07,1960503.801438968
6,2012-12-14,2093410.4752821515
6,2012-12-21,2703599.7836554623
6,2012-12-28,1654397.9140672674
6,2013-01-04,1452853.0895566249
6,2013-01-11,1401854.0580792956
6,2013-01-18,1383517.819272949
7,2012-11-02,532373.3755959378
7,2012-11-09,534018.2322467465
7,2012-11-16,515954.6495265344
7,2012-11-23,891492.0502568269
7,2012-11-30,571284.7290949299
7,2012-12-07,626212.4771879665
7,2012-12-14,704768.3899753386
7,2012-12-21,1027009.9986171974
7,2012-12-28,772031.4308855822
7,2013-01-04,683664.7640876886
7,2013-01-11,570960.873362494
7,2013-01-18,552772.4010357087
8,2012-11-02,985690.1847892171
8,2012-11-09,954693.4098921724
8,2012-11-16,934491.8130096707
8,2012-11-23,1273176.2481627027
8,2012-11-30,1022802.235060751
8,2012-12-07,1090100.668435975
8,2012-12-14,1159788.610262644
8,2012-12-21,1500495.4940524984
8,2012-12-28,892937.9389698872
8,2013-01-04,910114.0595414528
8,2013-01-11,855432.8955674096
8,2013-01-18,852439.0312811671
9,2012-11-02,610991.4988024257
9,2012-11-09,610353.1029305249
9,2012-11-16,559492.4678284453
9,2012-11-23,830510.14939226
9,2012-11-30,629862.992226131
9,2012-12-07,647206.7589600534
9,2012-12-14,721968.2963347842
9,2012-12-21,920657.4813178165
9,2012-12-28,565894.9788584143
9,2013-01-04,536324.9092492268
9,2013-01-11,491860.7634944402
9,2013-01-18,496736.7145684246
10,2012-11-02,1902262.6370202366
10,2012-11-09,2070871.009986373
10,2012-11-16,1877706.6127717914
10,2012-11-23,2953449.8399766306
10,2012-11-30,2082172.4235805452
10,2012-12-07,2432429.1463581524
10,2012-12-14,2572816.1963640586
10,2012-12-21,3505552.3532700725
10,2012-12-28,1922992.111122285
10,2013-01-04,1689487.786529518
10,2013-01-11,1715933.1669049307
10,2013-01-18,1680098.633264392
11,2012-11-02,1395510.656979528
11,2012-11-09,1323321.9393575485
11,2012-11-16,1317415.9036174463
11,2012-11-23,1778177.6582778275
11,2012-11-30,1399524.8359583342
11,2012-12-07,1592690.382913597
11,2012-12-14,1815615.6463173267
11,2012-12-21,2244263.391112401
11,2012-12-28,1249485.6671732764
11,2013-01-04,1233813.9341057548
11,2013-01-11,1238286.2210480082
11,2013-01-18,1216943.47922054
12,2012-11-02,1062555.5742432214
12,2012-11-09,1102386.8773159243
12,2012-11-16,982477.0018300363
12,2012-11-23,1607483.643679783
12,2012-11-30,1087183.7872058216
12,2012-12-07,1201583.9348582225
12,2012-12-14,1309060.3170962143
12,2012-12-21,1640990.2940731584
12,2012-12-28,1115231.549729146
12,2013-01-04,959944.2670177912
12,2013-01-11,878733.0464077836
12,2013-01-18,869182.0327837899
13,2012-11-02,2114426.0510067097
13,2012-11-09,2189346.070449506
13,2012-11-16,2094033.6725510003
13,2012-11-23,2941882.4979321854
13,2012-11-30,2128980.7498549395
13,2012-12-07,2540456.1404187675
13,2012-12-14,2838019.18891083
13,2012-12-21,3634428.3301704214
13,2012-12-28,2046839.7049812565
13,2013-01-04,1943473.2608030061
13,2013-01-11,1872680.0387625
13,2013-01-18,1889297.8811155455
14,2012-11-02,1760254.3605534246
14,2012-11-09,1724399.1192269663
14,2012-11-16,1638928.4024163648
14,2012-11-23,2232732.196142828
14,2012-11-30,1800349.7536849678
14,2012-12-07,2044226.4475771554
14,2012-12-14,2146164.6106128064
14,2012-12-21,2795848.1791287074
14,2012-12-28,1513101.8003380257
14,2013-01-04,1560193.53003145
14,2013-01-11,1440197.2935204767
14,2013-01-18,1493724.4348558325
15,2012-11-02,574579.7567253978
15,2012-11-09,577736.9655174807
15,2012-11-16,567950.149513705
15,2012-11-23,940039.9686848915
15,2012-11-30,667679.880585201
15,2012-12-07,731518.2172539055
15,2012-12-14,827103.566008123
15,2012-12-21,1098841.5193669158
15,2012-12-28,533661.7818084644
15,2013-01-04,497606.0621305194
15,2013-01-11,468780.36035103723
15,2013-01-18,480621.0083053373
16,2012-11-02,506827.8044841413
16,2012-11-09,489568.98638882546
16,2012-11-16,484669.4039378989
16,2012-11-23,653604.2070101666
16,2012-11-30,523553.0202579143
16,2012-12-07,562188.826830663
16,2012-12-14,638366.8872700369
16,2012-12-21,880880.7770302423
16,2012-12-28,608936.1061925325
16,2013-01-04,558382.0372123612
16,2013-01-11,498971.37683463754
16,2013-01-18,479722.60098215047
17,2012-11-02,989596.253462949
17,2012-11-09,961459.1494684254
17,2012-11-16,928307.3201549582
17,2012-11-23,1269262.3123716027
17,2012-11-30,997699.9516300483
17,2012-12-07,1028949.0389187766
17,2012-12-14,1119937.7291251372
17,2012-12-21,1342574.9304448443
17,2012-12-28,824853.9811931865
17,2013-01-04,1246261.4014777306
17,2013-01-11,922142.8695611231
17,2013-01-18,860369.2102904891
18,2012-11-02,1097832.496306892
18,2012-11-09,1118769.1924017654
18,2012-11-16,1086638.0831950798
18,2012-11-23,1439465.2387476694
18,2012-11-30,1182832.2459624
18,2012-12-07,1300602.0487715902
18,2012-12-14,1397642.0803992588
18,2012-12-21,1646028.8972362578
18,2012-12-28,1006050.1627689237
18,2013-01-04,1028140.6282538034
18,2013-01-11,941858.8030052251
18,2013-01-18,1003655.2794704275
19,2012-11-02,1462253.1059153113
19,2012-11-09,1483124.9778057921
19,2012-11-16,1392506.253946075
19,2012-11-23,1956226.9810408428
19,2012-11-30,1468592.5874782298
19,2012-12-07,1696705.6175952682
19,2012-12-14,1834587.2799901345
19,2012-12-21,2465128.7580193244
19,2012-12-28,1383968.5575976083
19,2013-01-04,1247111.2715101822
19,2013-01-11,1163565.8006471873
19,2013-01-18,1218007.807236471
20,2012-11-02,2322376.694384811
20,2012-11-09,2315226.5151809594
20,2012-11-16,2217459.8900885326
20,2012-11-23,2949934.621446442
20,2012-11-30,2364468.574374079
20,2012-12-07,2620427.291716286
20,2012-12-14,2821844.7500913115
20,2012-12-21,3629009.2794242897
20,2012-12-28,2073027.2222760236
20,2013-01-04,2006806.162178367
20,2013-01-11,1963163.4785197815
20,2013-01-18,1936039.0426932792
21,2012-11-02,676223.2054017658
21,2012-11-09,679803.0310367132
21,2012-11-16,682873.5181031971
21,2012-11-23,996531.9083139792
21,2012-11-30,725774.4706895436
21,2012-12-07,797196.7317249143
21,2012-12-14,910176.9328289295
21,2012-12-21,1173015.6488907964
21,2012-12-28,666531.8482774657
21,2013-01-04,608344.2357469155
21,2013-01-11,614616.8418337539
21,2013-01-18,624731.985163157
22,2012-11-02,1040521.1725308904
22,2012-11-09,1075028.9525358833
22,2012-11-16,1018961.7040031602
22,2012-11-23,1450067.520947954
22,2012-11-30,1187426.5239583761
22,2012-12-07,1293920.2347899065
22,2012-12-14,1408482.355611007
22,2012-12-21,1729294.1360506723
22,2012-12-28,906842.9176197898
22,2013-01-04,941136.1890329062
22,2013-01-11,896941.2192088268
22,2013-01-18,931258.7586708203
23,2012-11-02,1440048.651439031
23,2012-11-09,1503023.8732850733
23,2012-11-16,1433388.0973321358
23,2012-11-23,2120369.853348104
23,2012-11-30,1666842.0783144808
23,2012-12-07,1924196.5128522345
23,2012-12-14,2252550.1054652506
23,2012-12-21,2677755.2066478855
23,2012-12-28,1300458.5954580198
23,2013-01-04,1247491.2520486834
23,2013-01-11,1140876.3809859648
23,2013-01-18,1240780.093074255
24,2012-11-02,1359809.1385070004
24,2012-11-09,1386083.2892649556
24,2012-11-16,1317887.5345184715
24,2012-11-23,1706578.6158514263
24,2012-11-30,1385414.2004992152
24,2012-12-07,1536656.0577736269
24,2012-12-14,1604339.3756255126
24,2012-12-21,2110194.8851574273
24,2012-12-28,1320804.409124462
24,2013-01-04,1260956.144713196
24,2013-01-11,1215356.1350778958
24,2013-01-18,1191032.5413712685
25,2012-11-02,707171.533613043
25,2012-11-09,711240.4654812954
25,2012-11-16,715472.6525502158
25,2012-11-23,934019.8020840322
25,2012-11-30,805426.3358597327
25,2012-12-07,842348.4603822948
25,2012-12-14,888091.3638492273
25,2012-12-21,1033014.3037770141
25,2012-12-28,671202.1901958183
25,2013-01-04,638182.496679645
25,2013-01-11,639565.9868048682
25,2013-01-18,634417.6124841832
26,2012-11-02,1010564.7512709762
26,2012-11-09,1090315.96009581
26,2012-11-16,961810.964859037
26,2012-11-23,1298836.2389764779
26,2012-11-30,1029257.4520190281
26,2012-12-07,1165543.1319918043
26,2012-12-14,1221085.344224493
26,2012-12-21,1533001.5986519088
26,2012-12-28,986931.1425370048
26,2013-01-04,987332.290159603
26,2013-01-11,852442.9246131483
26,2013-01-18,854750.6571856627
27,2012-11-02,1607180.0033581874
27,2012-11-09,1748770.004700436
27,2012-11-16,1666703.1375677034
27,2012-11-23,2334484.4211218855
27,2012-11-30,1769777.835639219
27,2012-12-07,1951026.3022823397
27,2012-12-14,2108282.1766206548
27,2012-12-21,2601181.235361621
27,2012-12-28,1536776.8926801758
27,2013-01-04,1539694.0987795268
27,2013-01-11,1508757.3653441293
27,2013-01-18,1522688.3885337012
28,2012-11-02,1542936.505561024
28,2012-11-09,1435148.483414698
28,2012-11-16,1270257.9015749146
28,2012-11-23,1777108.07596329
28,2012-11-30,1255468.9062608702
28,2012-12-07,1392786.24288159
28,2012-12-14,1304692.9088136412
28,2012-12-21,1507853.0767228846
28,2012-12-28,1347615.8748749057
28,2013-01-04,1430740.5798012828
28,2013-01-11,1173799.8687169526
28,2013-01-18,1137190.9340591927
29,2012-11-02,625415.6955754315
29,2012-11-09,544291.9103584235
29,2012-11-16,518222.94831276825
29,2012-11-23,930011.852379986
29,2012-11-30,597946.5251204494
29,2012-12-07,652539.6034878381
29,2012-12-14,758376.633047688
29,2012-12-21,1037264.9457317506
29,2012-12-28,558069.4247932328
29,2013-01-04,482110.5167419774
29,2013-01-11,456854.1830175309
29,2013-01-18,460231.57958828827
30,2012-11-02,452570.7173990222
30,2012-11-09,427869.3589920277
30,2012-11-16,431003.1877586445
30,2012-11-23,452768.86416130746
30,2012-11-30,417328.206770159
30,2012-12-07,433907.0257351159
30,2012-12-14,442005.86810512346
30,2012-12-21,487785.86342578725
30,2012-12-28,402707.9984529237
30,2013-01-04,449205.7993612005
30,2013-01-11,451914.83994639054
30,2013-01-18,438609.53593867045
31,2012-11-02,1408963.584345432
31,2012-11-09,1426533.9586702269
31,2012-11-16,1428184.8678414105
31,2012-11-23,1859937.1074995203
31,2012-11-30,1385232.2010181309
31,2012-12-07,1527212.7027808288
31,2012-12-14,1608967.379571273
31,2012-12-21,1962603.8057482704
