Store,MAE,RMSE,MAPE (%)
1,41493.71,46881.19,2.7
2,46161.84,55528.27,2.44
3,11962.05,14803.03,2.98
4,72764.11,90941.22,3.41
5,11328.16,12776.33,3.59
6,31134.48,35843.91,2.07
7,32806.03,36150.96,6.05
8,31379.12,35651.47,3.41
9,17713.79,23917.56,3.24
10,60772.56,77723.8,3.49
11,48856.63,56150.05,3.66
12,15904.8,18411.98,1.65
13,56110.85,80787.71,2.72
14,95978.98,115164.6,5.87
15,10354.42,11928.78,1.84
16,10252.43,14753.68,1.95
17,40471.44,45983.93,4.18
18,81362.83,101997.69,7.57
19,38406.27,42933.71,2.75
20,58091.64,77834.42,2.81
21,21995.25,34920.5,3.04
22,26505.54,34935.31,2.62
23,84661.02,94932.19,5.85
24,49410.37,62809.54,3.64
25,19060.39,24803.06,2.67
26,27227.49,34246.63,2.65
27,39356.68,54017.02,2.32
28,60718.34,76551.61,4.75
29,24861.38,34512.81,5.13
30,31631.26,37544.97,7.26
31,25175.53,31151.17,1.83
32,27150.33,33309.44,2.25
33,7377.16,9594.19,2.84
34,16839.62,21553.04,1.76
35,123233.77,127204.86,14.15
36,9331.23,11617.9,3.16
37,8750.71,10964.21,1.64
38,29417.18,35349.73,6.85
39,42289.74,50791.71,2.66
40,25260.9,29870.21,2.6
41,39853.51,44506.54,2.84
42,34636.91,40310.05,6.27
43,10819.53,12646.89,1.74
44,10745.83,12530.18,3.13
45,19240.02,23153.13,2.61
